# Num	Ele	Weapon1	Weapon2	Name
0	3	3	3	가웨인
1	1	5	5	알타이르
2	2	7	8	알레테이아
3	3	1	1	네차왈필리
4	4	7	7	레 피에
5	5	1	6	레이디 그레이
6	0	7	8	유엘
7	1	5	5	리리
8	4	5	5	사루난
9	2	5	5	칼리오스트로
10	1	7	7	샤를로테
11	0	5	5	마기사
12	3	2	2	메테라
13	4	7	7	세루엘
14	4	7	7	레 피에(수)
15	0	5	5	이오(수)
16	5	6	6	케르베로스
17	0	7	7	아기엘바
18	3	10	10	크리스티나
19	2	5	5	아루루메이야
20	4	7	7	샤를로테(할)
21	3	5	5	레나
22	2	1	3	메루
23	1	7	4	란슬롯
24	4	5	5	소피아
25	2	7	8	지크프리트
26	5	4	4	로제타(클)
27	0	1	6	아니라
28	0	1	1	제타
29	5	3	3	바자라가
30	1	1	1	우노
31	4	2	2	송
32	2	3	7	사라사
33	1	4	4	카토르
34	4	5	5	퓐프
35	5	6	6	시스
36	3	7	7	시에테
37	2	8	8	옥토
38	3	9	9	니오
39	0	10	10	엣셀
40	4	1	1	잔다르크
41	2	6	6	사라
42	3	4	4	카루메리나
43	5	7	7	비라
44	1	6	6	소시에
45	4	7	7	알베르
46	0	5	5	클라리스
47	3	5	5	페트라
48	5	5	5	사루난(암)
49	1	10	10	실바
50	0	7	7	퍼시벌
51	4	6	6	아미라
52	0	6	6	간다고우자
53	2	7	7	비라(수)
54	1	7	7	카타리나
55	5	4	4	다누아(수)
56	4	1	1	제타(수)
57	5	5	5	밤피
58	3	9	9	앙리에트
59	0	10	10	라캄
60	0	1	1	헤르에스
61	3	2	2	피나
62	5	5	5	칼리오스트로(할)
63	5	8	8	나루메아
64	1	7	8	요달라하
65	4	5	5	이오
66	1	9	9	리루루
67	2	5	5	클라리스(클)
68	3	4	4	로제타
69	2	10	10	유스테스
70	5	7	7	베아트릭스
71	3	5	5	안치라
72	0	2	2	메테라(화)
73	4	4	4	페리
74	2	10	10	캐서린
75	0	5	5	자루하메리나
76	0	7	9	아오이도스
77	2	10	10	오이겐
78	4	7	7	조이(카드)
79	2	3	3	하레제나
80	5	7	7	잔다르크(암)
81	3	5	5	코르와
82	5	7	7	흑기사
83	0	6	6	아리자
84	2	6	6	아일
85	2	3	3	네모네
86	5	1	1	포르테
87	4	7	7	로자미아
88	1	10	6	잉그베이
89	1	8	8	나루메아(수)
90	0	7	7	퍼시벌(수)
91	4	1	1	헤르에스(수)
92	5	7	7	조이(수)
93	1	5	5	샤노와르
94	5	4	4	바이트
95	0	6	6	소시에(화)
96	4	1	1	줄리엣
#97	-	-	-	셰로카르테
98	1	7	7	로미오
99	2	10	10	유스테스(할)
100	1	7	7	이슈미르
101	3	7	7	리샤
102	3	7	7	메리사벨
103	0	6	6	안스리아
104	1	5	5	아루루메이야(클)
105	3	7	8	유이시스
106	4	8	7	루시오
107	2	9	9	마키라
108	5	5	5	마루키아레스
109	2	1	10	라스티나
110	0	7	7	베아트릭스(수)
111	5	6	6	오키스
112	5	1	1	제타(암)
113	2	7	7	레 피에(토)
#114	-	-	-	-
115	0	7	7	슈트룸
116	1	10	6	캬타비라
117	1	1	3	베인
118	5	7	7	카타리나(암)
119	1	5	5	드랑
120	5	5	5	칼리오스트로(암)
121	4	5	5	클라리스(광)
122	3	6	6	스카사하
123	2	6	6	메두사
124	4	7	7	바우타오다
125	2	6	6	유그드라실
126	1	7	7	이슈미르(수)
127	3	5	5	코르와(수)
128	3	7	8	지크프리트(수)
129	1	9	9	디안사(수)
130	0	6	6	그레아
131	4	8	8	미카즈키
132	1	1	1	앤
133	0	6	6	니나
134	4	10	6	메이드
135	0	4	4	다누아(할)
136	4	5	5	사쿠라
137	5	4	6	아자젤
138	1	7	8	유엘(수)
#139	-	-	-	-
140	3	7	4	란슬롯(풍)
141	4	3	3	비라
142	3	7	8	리바이
143	4	10	10	마리
144	0	7	7	샤리오스 17세
145	5	7	7	올리비에
146	2	3	3	바자라가(토)
147	1	8	8	바지라
148	2	10	2	이루자
149	0	7	7	테레즈
150	4	10	10	조이(총)
151	2	6	6	메두사(발)
152	3	6	6	티아마트
153	4	7	8	산달폰
154	3	7	7	잔다르크(수)
155	4	10	10	로보미
156	5	8	8	시로
157	4	10	6	코난
158	2	7	8	브로디아
159	1	10	10	쿠쿠루
#160	-	-	-	-
#161	-	-	-	-
#162	-	-	-	-
#163	-	-	-	-
#164	-	-	-	-
#165	-	-	-	-
#166	-	-	-	-
#167	-	-	-	-
#168	-	-	-	-
#169	-	-	-	-
170	2	6	6	소릿즈
171	2	8	8	카인
172	5	5	5	루나루
173	5	4	10	조커
174	5	6	10	우프&레니
175	3	9	9	세레피라
176	2	4	4	로제타(수)
177	0	10	2	이루자(수)
178	4	1	1	노이슈(수)
179	1	6	6	그레아(수)
180	0	6	6	츠바사
181	1	5	6	포리아
182	5	10	10	후우쨩
183	1	7	10	2학년조
184	2	5	5	1학년조
185	0	1	10	3학년조
186	3	7	8	모니카
187	4	10	10	실바(광)
188	4	6	6	프리큐어
189	5	1	6	레이디 그레이(할)
190	1	5	5	에우로페
191	0	7	1	쌍기사
192	1	7	7	아그로발
193	4	7	6	레비온 시스터즈
194	4	7	7	샤를로테(광)
195	4	2	2	메테라(클)
196	0	1	5	시바
197	4	1	3	쿠비라
198	5	10	4	유스테스(암)
199	3	7	5	유리우스
200	4	7	7	페코리느
201	3	1	1	콧코로
